# 🔹 Паттерн 2.1: `squared_radical` (Пример: (2√3)² / 30)
squared_radical | (2√5)² / 50
squared_radical | (3√2)² / 36
squared_radical | (2√6)² / 30
squared_radical | (3√3)² / 54
squared_radical | (4√3)² / 60
squared_radical | (2√10)² / 50
squared_radical | (3√7)² / 90
squared_radical | (5√2)² / 20
squared_radical | (4√6)² / 80
squared_radical | (3√10)² / 60
squared_radical | 24 / (2√3)²
squared_radical | 96 / (4√2)²
squared_radical | 60 / (2√5)²
squared_radical | 84 / (2√7)²
squared_radical | 90 / (3√5)²
squared_radical | 56 / (2√2)²
squared_radical | 75 / (5√2)²
squared_radical | 48 / (2√6)²
squared_radical | 98 / (7√2)²
squared_radical | 64 / (4√2)²

# 🔹 Паттерн 2.2: `radical_multiplication`(Примеры: (√50 − √2) · √2, (√75 + √3) · √12)
radical_multiplication | (√27 + √3) · √12
radical_multiplication | (√50 − √2) · √8
radical_multiplication | (√45 + √5) · √20
radical_multiplication | (√18 + √2) · √32
radical_multiplication | (√75 − √3) · √27
radical_multiplication | (√20 + √5) · √45
radical_multiplication | (√48 − √3) · √12
radical_multiplication | (√125 − √5) · √20
radical_multiplication | (√32 + √2) · √50
radical_multiplication | (√27 − √3) · √75
radical_multiplication | (√45 − √5) · √80
radical_multiplication | (√48 + √3) · √75
radical_multiplication | (√32 − √2) · √18
radical_multiplication | (√125 + √5) · √45
radical_multiplication | (√27 + √12) · √3
radical_multiplication | (√50 − √8) · √18
radical_multiplication | (√75 + √27) · √3
radical_multiplication | (√20 + √125) · √5
radical_multiplication | (√48 − √27) · √3
radical_multiplication | (√48 + √27) · √3
radical_multiplication | (√32 + √18) · √2

# 🔹 Паттерн 2.3: `radical_product`
# ⭐ Форма A — произведение двух корней (Примеры: √(80 · 40) · √2, √(13 · 18) · √26)
radical_product | √(12 · 18) · √6
radical_product | √(20 · 30) · √6
radical_product | √(24 · 40) · √15
radical_product | √(10 · 18) · √20
radical_product | √(28 · 14) · √2
radical_product | √(45 · 15) · √3
radical_product | √(50 · 10) · √5
radical_product | √(12 · 27) · √4
radical_product | √(63 · 21) · √3
radical_product | √(32 · 10) · √5
radical_product | √(48 · 24) · √2
radical_product | √(75 · 18) · √6
radical_product | √(16 · 15) · √15
radical_product | √(25 · 14) · √14
radical_product | √(36 · 10) · √10
radical_product | √(49 · 6) · √6
radical_product | √(18 · 30) · √15
radical_product | √(20 · 28) · √35
radical_product | √(50 · 14) · √7
radical_product | √(27 · 20) · √15

# ⭐ Форма B — смешанный вид (числа × корни) (Примеры: 9√7 · 2√2 · √14)
radical_product | 3√5 · 2√3 · √15
radical_product | 4√2 · 2√6 · √3
radical_product | 5√3 · 2√2 · √6
radical_product | 2√7 · 3√2 · √14
radical_product | 4√5 · √2 · 3√10
radical_product | 2√6 · 3√5 · √30
radical_product | 3√3 · 4√7 · √21
radical_product | 5√2 · 4√3 · √6
radical_product | 2√10 · 3√2 · √5
radical_product | 4√3 · 2√5 · √15
radical_product | 3√6 · 2√2 · √3
radical_product | 5√7 · 2√3 · √21
radical_product | 2√11 · 3√2 · √22
radical_product | 4√5 · 2√6 · √30
radical_product | 3√2 · 5√7 · √14
radical_product | 2√13 · √2 · 4√26
radical_product | 6√3 · 2√7 · √21
radical_product | 3√10 · 4√3 · √30
radical_product | 2√15 · 3√2 · √30
radical_product | 4√21 · 2√3 · √7

# ⭐ Форма C — один корень, внутри сразу несколько множителей (Примеры: √(56·40·35))
radical_product | √(12·18·24)
radical_product | √(20·40·50)
radical_product | √(10·30·48)
radical_product | √(14·21·6)
radical_product | √(15·20·27)
radical_product | √(18·24·27)
radical_product | √(28·35·20)
radical_product | √(30·42·35)
radical_product | √(40·50·80)
radical_product | √(12·45·15)
radical_product | √(18·60·30)
radical_product | √(24·42·28)
radical_product | √(20·63·35)
radical_product | √(50·24·75)
radical_product | √(10·18·80)
radical_product | √(15·21·35)
radical_product | √(40·28·70)
radical_product | √(24·54·36)
radical_product | √(63·42·54)
radical_product | √(12·30·40)

# 🔹 Паттерн 2.4: `radical_product_with_powers` (Пример √(11·3⁴) · √(11·5²))





































































































































































































































































































































































































































































































































































































































